#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+-----+------+----------------+---------------+
| run:fill    | time              | nls | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+-----+------+----------------+---------------+
| 302026:6147 | 08/30/17 06:49:55 | 28  | 28   | 0.004792767    | 0.004651888   |
| 302029:6147 | 08/30/17 07:16:38 | 79  | 79   | 0.016025901    | 0.015281544   |
+-------------+-------------------+-----+------+----------------+---------------+
#Summary: 
+-------+------+-----+------+-------------------+------------------+
| nfill | nrun | nls | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-----+------+-------------------+------------------+
| 1     | 2    | 107 | 107  | 0.020818668       | 0.019933432      |
+-------+------+-----+------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 305516:6323 | 10/23/17 23:42:58 | 551  | 551  | 0.186036327    | 0.170811889   |
| 305517:6323 | 10/24/17 03:42:14 | 121  | 121  | 0.037407440    | 0.033973948   |
| 305518:6323 | 10/24/17 04:48:59 | 1133 | 1133 | 0.242659356    | 0.233807313   |
| 305586:6324 | 10/24/17 17:46:56 | 531  | 531  | 0.180913877    | 0.171033459   |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 0.170274056    | 0.162878243   |
| 305590:6324 | 10/25/17 03:17:26 | 1004 | 1004 | 0.155970996    | 0.151936421   |
| 305636:6325 | 10/25/17 13:27:50 | 2325 | 2325 | 0.548328090    | 0.525219671   |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 0.277111803    | 0.263961475   |
| 305809:6341 | 10/27/17 23:20:38 | 142  | 142  | 0.048880031    | 0.045952441   |
| 305814:6343 | 10/28/17 06:17:08 | 1823 | 1823 | 0.469026860    | 0.446803627   |
| 305821:6344 | 10/28/17 20:29:22 | 772  | 772  | 0.255098811    | 0.240463320   |
| 305832:6346 | 10/29/17 11:22:50 | 179  | 179  | 0.062415652    | 0.058021275   |
| 305840:6346 | 10/29/17 15:39:01 | 1137 | 1137 | 0.261330952    | 0.251347322   |
| 305842:6346 | 10/29/17 23:07:26 | 862  | 862  | 0.117828015    | 0.114870231   |
| 305862:6347 | 10/30/17 11:28:42 | 625  | 625  | 0.212680289    | 0.202188598   |
| 305898:6348 | 10/30/17 20:22:11 | 701  | 701  | 0.237866610    | 0.227552138   |
| 305902:6349 | 10/31/17 04:27:05 | 469  | 469  | 0.161708801    | 0.154344858   |
| 305967:6351 | 10/31/17 16:08:26 | 32   | 32   | 0.011124217    | 0.010507825   |
| 306029:6355 | 11/01/17 18:28:41 | 29   | 29   | 0.010101826    | 0.009157238   |
| 306030:6355 | 11/01/17 18:42:20 | 110  | 110  | 0.038360904    | 0.034967629   |
| 306036:6356 | 11/01/17 22:43:47 | 1    | 1    | 0.000351496    | 0.000072865   |
| 306037:6356 | 11/01/17 22:46:26 | 42   | 42   | 0.014668625    | 0.012206880   |
| 306038:6356 | 11/01/17 23:06:46 | 136  | 136  | 0.047477997    | 0.044162104   |
| 306041:6356 | 11/02/17 00:07:18 | 318  | 318  | 0.106847688    | 0.100003850   |
| 306042:6356 | 11/02/17 02:14:22 | 363  | 363  | 0.105507265    | 0.100185074   |
| 306048:6356 | 11/02/17 04:39:06 | 133  | 133  | 0.033731051    | 0.032036620   |
| 306049:6356 | 11/02/17 05:33:33 | 357  | 357  | 0.078672843    | 0.075297556   |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 0.072669368    | 0.070670052   |
| 306091:6358 | 11/02/17 18:43:55 | 192  | 192  | 0.063468868    | 0.060274395   |
| 306092:6358 | 11/02/17 20:04:27 | 967  | 967  | 0.233706526    | 0.219022466   |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 0.050435816    | 0.049130689   |
| 306121:6360 | 11/03/17 13:15:57 | 86   | 86   | 0.030028648    | 0.028670528   |
| 306122:6360 | 11/03/17 13:53:17 | 124  | 124  | 0.043288476    | 0.040636078   |
| 306125:6360 | 11/03/17 14:46:12 | 2964 | 2964 | 0.581028780    | 0.560771797   |
| 306126:6360 | 11/04/17 10:14:24 | 497  | 497  | 0.030334921    | 0.029717428   |
| 306134:6362 | 11/04/17 17:39:47 | 21   | 21   | 0.007310342    | 0.006957271   |
| 306135:6362 | 11/04/17 17:52:01 | 1095 | 1095 | 0.349232517    | 0.329516189   |
| 306138:6362 | 11/05/17 01:32:21 | 1298 | 1298 | 0.218013924    | 0.211381092   |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | 1112 | 0.103464849    | 0.101514714   |
| 306153:6364 | 11/06/17 02:35:56 | 82   | 82   | 0.028602665    | 0.026435393   |
| 306154:6364 | 11/06/17 03:10:19 | 1213 | 1213 | 0.362250840    | 0.334755794   |
| 306155:6364 | 11/06/17 11:12:05 | 1440 | 1440 | 0.225439982    | 0.219491926   |
| 306169:6364 | 11/06/17 21:43:34 | 735  | 735  | 0.068312137    | 0.066299041   |
| 306170:6364 | 11/07/17 02:33:04 | 15   | 15   | 0.001212293    | 0.001135254   |
| 306171:6364 | 11/07/17 02:41:35 | 503  | 503  | 0.036343851    | 0.035728272   |
| 306418:6370 | 11/09/17 02:11:31 | 65   | 65   | 0.022625056    | 0.020778732   |
| 306419:6370 | 11/09/17 02:41:06 | 58   | 58   | 0.020135929    | 0.018423612   |
