#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
| 302240:6160 | 09/02/17 10:53:49 | 960  | HLT_DiPFJetAve60_v9  | 0.000006035    | 0.000005907   |
| 302262:6161 | 09/03/17 03:32:01 | 428  | HLT_DiPFJetAve60_v9  | 0.000002301    | 0.000002216   |
| 302263:6161 | 09/03/17 06:21:33 | 1250 | HLT_DiPFJetAve60_v9  | 0.000006639    | 0.000006501   |
| 302277:6165 | 09/03/17 22:44:53 | 372  | HLT_DiPFJetAve60_v9  | 0.000002577    | 0.000002502   |
| 302279:6165 | 09/04/17 07:35:57 | 70   | HLT_DiPFJetAve60_v9  | 0.000000598    | 0.000000556   |
| 302280:6165 | 09/04/17 08:06:51 | 152  | HLT_DiPFJetAve60_v9  | 0.000001490    | 0.000001467   |
| 302322:6167 | 09/04/17 17:43:03 | 838  | HLT_DiPFJetAve60_v9  | 0.000005664    | 0.000005523   |
| 302328:6168 | 09/05/17 01:49:04 | 681  | HLT_DiPFJetAve60_v9  | 0.000004095    | 0.000003981   |
| 302337:6169 | 09/05/17 09:16:54 | 127  | HLT_DiPFJetAve60_v9  | 0.000000612    | 0.000000567   |
| 302342:6169 | 09/05/17 10:22:40 | 54   | HLT_DiPFJetAve60_v9  | 0.000000319    | 0.000000241   |
| 302343:6169 | 09/05/17 10:52:16 | 97   | HLT_DiPFJetAve60_v9  | 0.000000552    | 0.000000533   |
| 302344:6169 | 09/05/17 11:33:14 | 480  | HLT_DiPFJetAve60_v9  | 0.000002452    | 0.000002393   |
| 302350:6169 | 09/05/17 15:02:18 | 136  | HLT_DiPFJetAve60_v9  | 0.000000729    | 0.000000717   |
| 302388:6170 | 09/05/17 18:47:02 | 685  | HLT_DiPFJetAve60_v9  | 0.000003086    | 0.000002986   |
